accountId,brandName,companyCnpj,name,productType,creditCardNetwork,creditLimit,usedLimit
733dbf81-79a1-4e10-8e03-5406b12bdf6c,Ferreira e Filhos,93.604.718/0001-78,Quos Crédito,CREDIT,VISA,864.53,90.47
c6023175-da1b-43c6-8d8b-ab48944475bb,Cirino,92.704.531/0001-83,Repellendus Crédito,CREDIT,VISA,1879.8,1095.17
bf01f753-70d2-49a3-8e9c-8dab9adc64e4,da Mota - ME,08.973.156/0001-60,Vitae Crédito,CREDIT,ELO,22621.47,14219.43
a779f4b4-5e5c-44f4-a348-d76c11245f07,Ramos Rocha Ltda.,12.843.760/0001-40,Voluptate Crédito,CREDIT,VISA,13.1,11.46
4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,Machado,26.970.543/0001-25,Repellat Crédito,CREDIT,VISA,779.2,121.55
56fcd638-6680-4e0e-9351-d4b9031319ed,Cavalcanti Ltda.,31.762.498/0001-53,Optio Crédito,CREDIT,MASTERCARD,21264.35,13822.58
d8be53a9-f992-44e4-912b-32488741c057,Moura da Rosa - ME,20.719.584/0001-67,Aperiam Crédito,CREDIT,ELO,2883.41,181.11
c8770d9c-e625-4e2c-a757-6f3bacaff677,das Neves,69.173.045/0001-64,Natus Crédito,CREDIT,VISA,319.55,243.18
83255db9-8936-4a65-bc32-a5fce97b398a,Nunes S/A,18.675.039/0001-74,Reprehenderit Crédito,CREDIT,VISA,16847.92,9780.66
1d21e5df-10a9-42e9-baf0-74d573b5c6f0,Cavalcanti,14.792.605/0001-77,Error Crédito,CREDIT,ELO,3932.95,2989.94
43593317-c8d0-47a8-a954-15eedc717740,Cirino S/A,79.615.824/0001-26,Et Crédito,CREDIT,ELO,15582.63,8946.02
0a5f69a1-9969-4659-a7ac-8918ee972a8c,Pinto,48.796.530/0001-14,Officia Crédito,CREDIT,ELO,9160.77,3988.04
0696369a-a7c1-41d4-966a-3ec1e32f3001,Mendonça,12.056.789/0001-81,Ullam Crédito,CREDIT,VISA,3508.88,847.55
a59420fa-a187-4458-ad52-d8f1d9011691,Ribeiro,45.132.968/0001-00,Natus Crédito,CREDIT,MASTERCARD,223.67,82.84
142157f5-23f5-4f02-8a73-8250bdfe705c,Farias - ME,87.643.915/0001-01,Impedit Crédito,CREDIT,MASTERCARD,2994.55,1819.27
80c46547-d443-4fea-88a8-91006ed2bd80,Nascimento,21.409.538/0001-24,Sunt Crédito,CREDIT,MASTERCARD,1668.85,1410.59
97240a3c-5c6e-4432-9bb2-de6caa8f94f7,Nunes,76.341.852/0001-04,Repellendus Crédito,CREDIT,ELO,23528.74,2153.01
ee258dce-5c52-45bc-9761-a238bc3cb8b3,da Conceição S.A.,36.948.015/0001-23,Explicabo Crédito,CREDIT,ELO,8726.81,3598.47
1ba72ad7-2da7-4f6f-9d34-97d10503de64,Moreira da Cunha S.A.,62.901.384/0001-70,Ratione Crédito,CREDIT,ELO,788.21,476.72
e8eb8a85-ceff-4126-aee5-c9ddb9da34ed,Garcia,09.435.178/0001-30,Asperiores Crédito,CREDIT,MASTERCARD,683.9,616.43
d025c735-5a1b-45a6-97da-b98dc5a8155c,Viana,69.025.417/0001-05,Saepe Crédito,CREDIT,VISA,4306.4,2931.3
08a5c2cb-c2de-41da-976a-114607c1e920,Sousa Araújo e Filhos,10.352.978/0001-76,Sed Crédito,CREDIT,MASTERCARD,20856.62,10615.13
e2a4cc5b-fa98-42ed-89a8-7e684209a346,da Rocha,73.691.802/0001-69,Nisi Crédito,CREDIT,VISA,119.58,103.94
3c92e887-6950-49fd-aae7-c0ce85082b4e,Nascimento - EI,72.819.456/0001-99,Adipisci Crédito,CREDIT,MASTERCARD,55293.39,17478.14
9d481c49-368c-4024-bf58-d65d87fd8fd5,Fonseca Lima Ltda.,43.908.267/0001-94,Magnam Crédito,CREDIT,MASTERCARD,55630.86,39532.07
2eb8178b-e21c-490d-82b9-b443e2cdf8d8,Nogueira,61.475.329/0001-01,Nulla Crédito,CREDIT,ELO,1465.17,1081.19
5d97f08f-bb23-4749-b775-14343f1ecb95,Fernandes Nascimento - ME,54.028.193/0001-18,Distinctio Crédito,CREDIT,MASTERCARD,841.48,351.2
bd125b4a-3856-43c5-bc38-1c92027cee98,Pimenta,53.619.874/0001-98,Maxime Crédito,CREDIT,ELO,7921.07,5797.71
856e2a01-e962-47a0-8423-dbf0899c2e9e,Marques e Filhos,46.302.791/0001-05,Est Crédito,CREDIT,MASTERCARD,13073.99,440.31
0348cb08-d7c1-4550-bad5-1889afe71674,Novaes,48.906.235/0001-73,Unde Crédito,CREDIT,MASTERCARD,734.66,462.14
0f64b744-1695-483c-9ecd-424b24507bc0,Gomes,60.138.594/0001-23,Aut Crédito,CREDIT,VISA,57211.89,40917.35
ed8e99e3-84ba-4dc2-82f7-785d39ee7984,Peixoto - EI,09.783.512/0001-46,Sequi Crédito,CREDIT,ELO,13790.72,6290.06
2b4cc614-a701-4c65-9cee-7b7a358b6f38,Cavalcanti,97.108.423/0001-61,Totam Crédito,CREDIT,VISA,3547.61,3108.27
82baf106-b2a0-43aa-891d-b48598d1044d,Barros e Filhos,80.649.713/0001-10,Occaecati Crédito,CREDIT,ELO,3675.18,2022.0
34b9540e-4b60-4ebb-ba9d-0253309e600a,da Cruz,71.503.682/0001-01,Iure Crédito,CREDIT,VISA,1864.02,1697.7
69ec76e0-9ee3-4c1a-8e1d-c94332132c05,Farias,48.915.036/0001-21,Labore Crédito,CREDIT,VISA,706.7,647.8
30507a4b-60e7-4677-bbd7-9735c9776c5a,Carvalho,45.921.837/0001-01,Nostrum Crédito,CREDIT,VISA,749.16,719.82
dab6525a-45b2-434c-ac17-e4acf26a40a3,Costela Ltda.,86.723.451/0001-72,Accusantium Crédito,CREDIT,MASTERCARD,16387.99,8965.62
4a07f2a6-90ba-4738-892d-625db9f2c398,Novais,47.850.932/0001-97,Asperiores Crédito,CREDIT,MASTERCARD,3594.31,153.18
67f59bff-eb5b-4da6-bb4b-b6d44f971704,Cavalcante S.A.,96.172.580/0001-73,Quod Crédito,CREDIT,VISA,56.51,17.84
52a6b5f1-0159-4088-86c4-51d1026bebb3,Correia das Neves - ME,27.961.804/0001-03,Minima Crédito,CREDIT,VISA,1308.6,521.4
43944093-b3a9-4e96-a81d-dd817c51265b,Pinto,06.451.783/0001-06,Dolorem Crédito,CREDIT,ELO,5439.25,3316.61
ef36647a-7710-4b4d-a87f-189078bcfae1,Martins,50.873.916/0001-24,Deleniti Crédito,CREDIT,VISA,1239.57,1105.41
35a2a936-3574-46be-a512-0ef7fab5af54,Moraes,89.357.412/0001-97,At Crédito,CREDIT,MASTERCARD,9450.66,7638.67
80dc9942-ca98-46b9-a01c-7118967f6c5a,Cardoso,60.428.579/0001-10,Occaecati Crédito,CREDIT,VISA,3544.15,2603.66
5bd949c5-b0c3-4198-bf09-b58eb6772368,Farias Correia S.A.,59.078.263/0001-66,Illum Crédito,CREDIT,VISA,6878.72,5180.9
53f6355d-b246-4907-ba88-654c5373e4d5,Souza,69.472.051/0001-12,Repudiandae Crédito,CREDIT,VISA,3933.41,2598.8
3236b58e-d882-402c-978b-d8636b037440,Cirino e Filhos,25.193.807/0001-19,Nesciunt Crédito,CREDIT,MASTERCARD,96919.21,72021.28
81a3a9f3-d3e2-450e-bcf4-6c640d03c0b9,Rodrigues Sá - EI,72.386.195/0001-60,Explicabo Crédito,CREDIT,VISA,4620.12,3148.47
d7273f27-5d94-4b82-9f32-bbf8874f0837,Sampaio,91.085.372/0001-13,Quasi Crédito,CREDIT,ELO,87923.58,5388.2
908de335-ed87-448a-bb76-946436db5f88,Aragão Carvalho e Filhos,72.149.568/0001-80,Quisquam Crédito,CREDIT,VISA,2449.58,587.33
df9de8b9-7df9-4ed8-ba8b-9f0c38b27b14,Mendonça,98.410.563/0001-52,Temporibus Crédito,CREDIT,VISA,4792.41,4498.28
99f44c94-1374-41b9-837f-799b5023e363,Souza Pereira - ME,73.695.481/0001-70,Eum Crédito,CREDIT,MASTERCARD,3384.8,3188.87
0d0b3ec1-c510-4598-9235-291813bfb7ba,Nunes Aragão e Filhos,90.231.786/0001-40,Iusto Crédito,CREDIT,MASTERCARD,3448.16,859.57
b0402ca9-5826-4b01-8efa-5622f574b460,Machado Ferreira - EI,24.783.590/0001-34,Quisquam Crédito,CREDIT,VISA,15799.51,8130.01
5db0a97a-53a0-4510-a3f0-28850cb821cb,Castro Camargo S.A.,93.504.126/0001-84,Deserunt Crédito,CREDIT,ELO,1945.25,955.74
13fa376e-7949-4773-af53-585f6acd31f7,Dias,28.175.430/0001-63,Esse Crédito,CREDIT,MASTERCARD,7289.68,5387.06
b6ff0b81-f0b7-470a-8564-207f2d738f84,Barbosa,98.726.415/0001-41,Fugiat Crédito,CREDIT,VISA,2985.69,2664.56
fe031dd4-be84-4ad2-b63b-00abebc5eed6,Sampaio,80.716.935/0001-08,Tempora Crédito,CREDIT,VISA,7662.61,1279.88
7c72c6c8-db66-42ad-908d-e6357a3f8f0a,Martins,30.648.971/0001-03,Temporibus Crédito,CREDIT,MASTERCARD,708.42,686.29
2a045951-a696-4c2a-8087-e199a744aebc,Cunha da Cunha Ltda.,75.360.218/0001-56,Quos Crédito,CREDIT,MASTERCARD,1256.57,370.5
7cd46fd8-5cd3-4ce6-848d-b1bcc726e4b3,da Mata,96.023.547/0001-81,Accusamus Crédito,CREDIT,MASTERCARD,13898.58,876.06
144179ad-ea28-42ef-935a-0c9b38655b87,Gonçalves - EI,73.012.689/0001-48,Voluptates Crédito,CREDIT,VISA,3987.38,2780.5
6ed9d7d6-4eed-49f3-84b1-97d1845eaccd,Vargas Almeida Ltda.,04.531.762/0001-75,Inventore Crédito,CREDIT,MASTERCARD,935.47,370.24
5267d55f-a2cc-4418-9ffe-1204b4cb0a29,Cirino da Paz S/A,20.849.613/0001-05,Fugit Crédito,CREDIT,VISA,14808.89,7381.19
dccef204-a8e6-454b-b8c0-7dde764a9862,Carvalho,40.236.987/0001-62,Ut Crédito,CREDIT,VISA,86538.36,10254.89
7015dd21-809d-4ed5-85b0-627ba9ac47ec,da Costa Ltda.,62.573.940/0001-27,Maxime Crédito,CREDIT,VISA,56.29,22.91
b8becddc-3d83-4320-b33b-88a1c3bfbbdb,Farias,64.932.107/0001-50,Cumque Crédito,CREDIT,VISA,520.3,234.57
ed6d8494-243d-4c71-8884-ab0c74f89707,Nogueira Oliveira - EI,38.125.796/0001-81,Eius Crédito,CREDIT,ELO,824.57,600.15
c407bc27-4aac-4801-954a-90bb2a9c7683,Pinto,27.143.860/0001-30,Beatae Crédito,CREDIT,ELO,114.85,64.05
5a4de7f3-be30-4e26-a819-be63cdf6c6e0,Silva,71.253.689/0001-04,Cupiditate Crédito,CREDIT,MASTERCARD,10379.1,8665.61
72f34dde-87b7-4863-b24d-fa996dabef72,Costa Ltda.,96.341.785/0001-35,Cupiditate Crédito,CREDIT,ELO,5139.94,3219.78
e6e1ceb8-d6f5-416b-b0c5-1b2621fa7ab8,Pinto,45.296.108/0001-01,Occaecati Crédito,CREDIT,VISA,43.52,39.1
49d950a0-052a-4cf8-b03d-42bd85fb70a3,Camargo Borges e Filhos,18.497.350/0001-70,Accusamus Crédito,CREDIT,MASTERCARD,7218.03,1447.52
b1e28504-1d9e-46d8-9c29-200c3d2b2ec9,Cassiano Brito - EI,27.893.014/0001-38,Perferendis Crédito,CREDIT,VISA,844.85,808.52
0120365b-92a2-4586-a53c-b9d3b9dcb550,Vargas Nunes - EI,58.207.193/0001-36,Ex Crédito,CREDIT,MASTERCARD,12334.16,12217.74
a7e11d7f-6b69-48f6-84e6-30f968858d98,Pastor,92.765.184/0001-07,Vero Crédito,CREDIT,VISA,3182.06,3125.27
94e7e036-3ad2-4738-95d9-0124fdd264a8,Albuquerque S.A.,12.078.546/0001-44,A Crédito,CREDIT,VISA,2977.98,1843.52
eb61a52e-b554-477d-bd1f-10f810f8e074,Leão,79.850.316/0001-22,Eligendi Crédito,CREDIT,VISA,5167.73,4318.21
6153184f-b51f-4df3-85b7-8cf4f98335d7,Sampaio,34.096.871/0001-72,Provident Crédito,CREDIT,MASTERCARD,1725.93,720.91
1c6a8d79-9143-4849-ad36-e0c21f2f1ca6,Gomes,52.713.489/0001-42,Id Crédito,CREDIT,MASTERCARD,29162.13,21494.63
d584539f-5eb5-4c72-9b03-7b0853182333,Oliveira Rios e Filhos,41.589.067/0001-90,Eaque Crédito,CREDIT,VISA,2564.71,1951.01
ffcc663f-54a5-4a58-a091-76fc05498b5f,Marques,86.724.905/0001-20,Quod Crédito,CREDIT,ELO,748.37,315.43
684dd969-c1a3-435d-813c-d14f32eff1db,Vargas - ME,47.920.653/0001-52,Aperiam Crédito,CREDIT,MASTERCARD,376.64,236.44
bdd76e25-257c-4cfd-b1f5-6f7375cb4cef,da Conceição Ltda.,06.785.913/0001-47,Quasi Crédito,CREDIT,MASTERCARD,336.44,333.5
2b640cdc-b4de-450a-91dd-c9f41ddbf200,Duarte,89.761.345/0001-71,Laboriosam Crédito,CREDIT,ELO,10649.05,382.25
204e21ac-4527-4d0c-ae4a-3b67d9090d8a,Araújo Leão - EI,81.359.762/0001-80,Fugit Crédito,CREDIT,VISA,425.48,20.01
91db98b5-1a10-46ba-8ab7-8b77552aebe5,Sales,38.170.265/0001-00,Odit Crédito,CREDIT,ELO,1406.97,562.98
3bac8639-69a4-4b57-8688-7a89c8871aa4,Brito Machado S.A.,78.624.159/0001-74,Corrupti Crédito,CREDIT,MASTERCARD,1475.84,259.87
87bb05d6-a14a-4b79-b8da-1fa051089b0a,Gomes Vargas e Filhos,74.983.201/0001-92,Sequi Crédito,CREDIT,MASTERCARD,14099.48,1798.09
938c5f61-3a40-45af-8227-8806043bc709,Sousa,43.082.975/0001-19,Deserunt Crédito,CREDIT,MASTERCARD,4632.64,1334.71
01989e23-a447-4683-ad33-3f68c692db5f,da Conceição,65.734.281/0001-51,Error Crédito,CREDIT,MASTERCARD,10066.92,668.96
cc7e4490-3de0-42a4-befe-e0a9c4af0d2b,Vasconcelos,47.681.259/0001-09,Id Crédito,CREDIT,ELO,521.86,321.92
9a37737d-8a31-46f5-8d28-040ce20663d9,Novaes,58.746.139/0001-69,Placeat Crédito,CREDIT,ELO,367.56,98.97
0c531d04-5caa-4244-b322-88fab0bb82e8,Caldeira Ltda.,15.836.079/0001-62,Voluptates Crédito,CREDIT,MASTERCARD,26434.67,17052.8
2c652434-c9de-49a9-a53c-983a97ab22e9,Siqueira Casa Grande - EI,59.184.032/0001-37,Sit Crédito,CREDIT,VISA,15064.01,14571.34
786c8d7c-97cc-4835-be27-5c28ff1d6db9,Pinto Jesus Ltda.,83.705.146/0001-60,Deserunt Crédito,CREDIT,VISA,6160.25,1115.98
17f0e7a5-79ca-45ed-93cd-105c24465945,Sales Peixoto S/A,36.819.450/0001-58,Officia Crédito,CREDIT,MASTERCARD,11963.79,7028.12
63fa8ba0-11a9-49fc-bb66-9c88baebb09e,Costela Cirino S/A,20.519.634/0001-62,Ducimus Crédito,CREDIT,MASTERCARD,963.31,81.7
40068e4d-de87-41ae-9d2b-2e4fc7d5edfa,Melo,68.542.739/0001-69,Pariatur Crédito,CREDIT,ELO,8157.37,3764.3
03bbf188-f750-4c79-8b29-e1a0ad36b52a,Andrade Ltda.,53.248.691/0001-03,Numquam Crédito,CREDIT,VISA,13296.38,10080.92
05d93199-1965-40b5-993f-3d538814081c,Marques,38.452.719/0001-36,Alias Crédito,CREDIT,VISA,486.32,73.54
97f52feb-9e12-4712-b295-82024a490703,Monteiro,82.367.519/0001-77,Inventore Crédito,CREDIT,ELO,580.01,302.0
294dc941-5fe3-4635-8c77-10801695ac04,Jesus - EI,93.147.582/0001-14,Nesciunt Crédito,CREDIT,VISA,4041.66,2800.02
78b11bc7-cefc-4956-acf5-08ae0dd91a60,Vasconcelos Dias e Filhos,15.320.748/0001-49,Magnam Crédito,CREDIT,MASTERCARD,21745.34,200.14
51055e05-0a62-42e8-b9b9-2f6d74a6be89,da Mota,08.324.751/0001-75,Excepturi Crédito,CREDIT,MASTERCARD,2032.12,117.76
b195dd74-b5b2-455c-834a-50059fa2ef06,Vieira,67.502.198/0001-82,Delectus Crédito,CREDIT,VISA,13623.08,7808.82
3078cc92-2305-4c27-9ec1-2f174600cb3d,Silva Brito - ME,47.053.189/0001-44,Consequuntur Crédito,CREDIT,VISA,2826.0,2159.83
6aa5add7-a8f5-46f0-bb6d-9e46b2fbf302,da Paz,75.038.421/0001-00,Molestiae Crédito,CREDIT,VISA,374.39,339.0
82cf53ec-192d-4ff0-9a83-fab553ba20cc,Gonçalves,93.546.078/0001-97,Odit Crédito,CREDIT,MASTERCARD,3639.75,530.42
9f3a053e-320c-4f25-b0ee-f9e08c511667,Carvalho Cunha S/A,26.849.017/0001-01,Ad Crédito,CREDIT,VISA,623.26,172.0
6de553af-2c3f-4d61-9293-6a9c8a8b309f,Fernandes,13.409.257/0001-43,In Crédito,CREDIT,VISA,10870.65,6744.22
9ce9e3bc-1efa-4462-9bb9-871c70335025,Abreu S/A,67.259.038/0001-54,Ullam Crédito,CREDIT,ELO,19520.53,4686.74
18fd24d2-b65a-4ca7-8e02-8c5b5c5c60d8,Sá,23.084.697/0001-21,Quos Crédito,CREDIT,VISA,26110.59,11358.23
93d36ed8-c9b7-445d-b050-0745961b0db6,da Rosa,50.871.493/0001-03,Deleniti Crédito,CREDIT,ELO,3681.97,2957.58
c98a65e4-499c-431c-a92b-8cd0dbf31739,da Paz,96.135.074/0001-04,Quidem Crédito,CREDIT,VISA,28282.0,21395.9
1b7817fa-64cb-40ae-9f9e-e87730216817,Mendes,26.405.981/0001-40,Saepe Crédito,CREDIT,ELO,1505.66,113.81
bf693c79-5649-442a-91af-8c2bec2cfc66,Rocha,58.219.630/0001-31,Cupiditate Crédito,CREDIT,MASTERCARD,23983.22,5501.28
135081bb-70fe-43cc-a305-62eecf0aab1d,Porto,93.524.876/0001-18,Quaerat Crédito,CREDIT,VISA,27430.25,26779.57
e8761e27-bbbd-411b-86e0-2203eb43ca95,da Cruz Ribeiro - EI,13.572.048/0001-16,Facilis Crédito,CREDIT,MASTERCARD,41.29,11.78
0519dda1-89e4-4ba2-918c-0d6e90edd2e0,Mendes,51.348.670/0001-34,Doloremque Crédito,CREDIT,MASTERCARD,12008.31,5859.16
5f8f3ec2-aed8-4cf8-ace9-aa1ca70ea23e,Nogueira,71.325.948/0001-65,Expedita Crédito,CREDIT,VISA,3131.38,1031.27
dde55ad1-2a01-439c-acc7-1ab1d0c684e8,Siqueira Freitas e Filhos,72.489.103/0001-78,Provident Crédito,CREDIT,MASTERCARD,3972.69,2796.0
2ce5809c-6840-4476-9eff-f915ed0d3fd3,Freitas,46.392.805/0001-29,Eum Crédito,CREDIT,ELO,4770.69,878.7
32d52e42-30ad-4178-91cb-89de4674abfb,Machado,60.975.134/0001-50,Sunt Crédito,CREDIT,VISA,3476.05,2667.54
88262323-6ba4-45a1-a6f2-64c8a316be2c,Rezende,50.976.214/0001-76,Nihil Crédito,CREDIT,VISA,26969.41,2334.38
b729d57a-b90f-4fba-be35-9f975c240ecc,Novais - ME,85.967.204/0001-59,Facere Crédito,CREDIT,MASTERCARD,49606.35,27865.67
3e5229de-692d-4fe0-8153-f07d9f96a876,Oliveira S.A.,97.561.804/0001-00,Totam Crédito,CREDIT,VISA,4222.5,3436.72
9ee19277-c4e1-422f-9e94-bad1ad654b66,Caldeira,83.269.410/0001-60,Et Crédito,CREDIT,ELO,21051.71,8772.54
56076e45-7473-4f85-bb3c-1204b16a8793,da Conceição Lopes S/A,95.846.723/0001-12,Assumenda Crédito,CREDIT,VISA,4893.45,3656.04
8f782bfb-f4d5-4a6d-985e-ad8e71c9fbc9,Aragão,58.279.643/0001-04,Minus Crédito,CREDIT,VISA,146.22,22.49
fd76225a-07b9-4b33-b44c-ac182533471b,Almeida Ltda.,48.137.520/0001-77,A Crédito,CREDIT,MASTERCARD,7644.17,6530.74
67101fe4-231a-49e8-a4b3-c54d4d8c77c7,Rodrigues Oliveira S/A,16.235.890/0001-50,Quia Crédito,CREDIT,MASTERCARD,2115.9,572.48
43a7f165-3648-4fc4-9bc1-3559de3f60a9,Camargo - EI,49.260.518/0001-53,Expedita Crédito,CREDIT,MASTERCARD,338.23,337.95
837b18d1-c516-4c81-833c-4c7e1eca959f,Garcia Ltda.,81.963.420/0001-75,Natus Crédito,CREDIT,ELO,6892.42,1063.79
936faa7b-0098-4932-aa25-99bfd8bcd8e1,Fernandes Sales S.A.,60.345.972/0001-40,Dolorum Crédito,CREDIT,VISA,3912.23,1067.61
14530c5a-e8a7-42fc-956d-c45716fd0ed9,Aragão Ltda.,25.781.903/0001-88,Facere Crédito,CREDIT,ELO,25143.42,14808.55
7a452530-3b5e-4cf6-8779-40ea432cca7c,Costa,41.837.592/0001-88,Ipsa Crédito,CREDIT,MASTERCARD,53320.38,50148.03
dd177112-eff8-4a88-a976-98a69da7a76e,Caldeira Almeida - ME,13.958.072/0001-98,Sequi Crédito,CREDIT,VISA,14131.2,4525.08
ffe8c02e-0886-4e91-8352-fd9afc7eefe4,da Mota da Mata S/A,54.893.026/0001-35,Nemo Crédito,CREDIT,VISA,3752.69,2684.32
75363cd3-4349-4871-95de-ff3778f990c9,Dias Ltda.,31.279.406/0001-89,Officiis Crédito,CREDIT,MASTERCARD,1466.02,726.83
1bbbf232-4e19-4032-b0ea-dd3d4423819b,Cirino Sampaio - EI,15.627.398/0001-68,Maiores Crédito,CREDIT,ELO,23182.05,18829.2
c768cc1b-5bf0-40bd-a4b7-798d7ef54a5e,Fonseca S.A.,94.250.671/0001-54,Nulla Crédito,CREDIT,MASTERCARD,692.5,27.98
66918c2f-0b75-4a77-b7ac-c100476a4048,Cassiano S.A.,70.284.631/0001-65,Doloribus Crédito,CREDIT,VISA,14791.42,3741.84
5c21d9c5-3e6d-4e70-83c7-e9a6c07fcaa6,da Paz,04.716.938/0001-63,Repudiandae Crédito,CREDIT,VISA,12728.81,3855.35
4fecef2a-7493-44d6-bdff-6a2f26422a32,Azevedo e Filhos,20.714.968/0001-97,Nostrum Crédito,CREDIT,VISA,571.44,424.05
5c9d62f0-bec5-4627-a492-6fa9014f89cd,da Rocha,13.894.502/0001-55,Accusamus Crédito,CREDIT,ELO,4615.31,3819.95
2216618b-1860-4712-9844-b774ccb3a843,Câmara,80.734.156/0001-35,Deleniti Crédito,CREDIT,MASTERCARD,324.28,303.75
a10a40d4-c0df-4698-977c-854961da1312,Montenegro,82.307.964/0001-41,Tempora Crédito,CREDIT,VISA,6695.22,1289.15
90579172-12c4-44fe-8792-53eaf88ec5b8,Santos Melo S.A.,21.957.340/0001-85,Saepe Crédito,CREDIT,VISA,10806.62,1331.84
ee7a56e5-3a4b-47fd-9bdf-67b547974ee3,Jesus,75.463.201/0001-24,Quae Crédito,CREDIT,MASTERCARD,17302.87,8036.06
99e27204-3283-42c4-b06b-52c2de3e44d9,Garcia,08.517.624/0001-92,Modi Crédito,CREDIT,MASTERCARD,899.82,402.09
216d2623-fd94-4040-ac0f-ed4ed792cf3e,Nogueira Leão e Filhos,20.346.597/0001-38,Commodi Crédito,CREDIT,VISA,1816.88,158.64
d415a334-8f54-48e1-a197-fce48c907aab,Moreira S/A,07.123.485/0001-50,Voluptas Crédito,CREDIT,ELO,12306.88,3792.66
914a3b97-e9c7-4390-af35-1cd24bce9fd5,Ribeiro da Rocha S/A,38.906.721/0001-38,Soluta Crédito,CREDIT,ELO,12358.42,223.24
197f5d69-2f08-47a5-891b-9bed5d0df7d1,Lopes - EI,74.803.295/0001-70,Fugit Crédito,CREDIT,ELO,11191.43,4865.97
60c8bb6b-358d-49ba-97e3-4579b24d9288,Silveira da Paz - EI,45.362.018/0001-71,Omnis Crédito,CREDIT,ELO,3032.47,291.52
992e84ab-fc6c-4ec1-b4b6-b153128c88f4,da Mota,58.479.016/0001-09,Quae Crédito,CREDIT,VISA,4412.55,2349.64
1faf4b96-0af1-41cc-bcf3-fbaa772a7bd0,Cavalcanti Cavalcanti S/A,07.265.389/0001-46,Non Crédito,CREDIT,MASTERCARD,1753.81,1649.98
c23dc5f0-7727-4d80-a611-6c6a6fad39eb,Duarte,07.619.842/0001-75,Optio Crédito,CREDIT,MASTERCARD,4630.57,3009.21
2069a534-53e7-4e41-8ded-2f545bf04386,Jesus,39.428.017/0001-80,Ipsum Crédito,CREDIT,MASTERCARD,3957.5,3044.11
e5ee8566-b3e4-46a4-ae79-c484d4718640,Andrade,68.931.475/0001-35,Quasi Crédito,CREDIT,ELO,13318.18,5250.9
0336434f-a93d-49d2-88e5-a7d7b3289f8e,Casa Grande,49.073.185/0001-53,Exercitationem Crédito,CREDIT,ELO,544.64,377.72
f3f1a0fc-a574-4b59-ac3b-4ba585ace1ba,Vargas da Paz - EI,20.957.314/0001-94,Doloribus Crédito,CREDIT,MASTERCARD,3761.54,1162.57
0bb65e7d-23e8-4510-9d2b-0726f0ba15ee,Monteiro Mendonça Ltda.,37.085.296/0001-09,Omnis Crédito,CREDIT,ELO,12362.47,1163.85
a517aba9-f8ab-4a13-89fa-7061ca156194,Gomes,06.983.275/0001-79,Odit Crédito,CREDIT,MASTERCARD,137.21,75.14
3ad56a14-5276-4bba-a2c1-3b10fdc865cc,Araújo e Filhos,06.382.497/0001-36,Eveniet Crédito,CREDIT,VISA,2813.33,919.56
504fd20d-b9ce-4dbe-999b-f138afde757a,Cavalcante,64.082.759/0001-43,Excepturi Crédito,CREDIT,ELO,5003.37,1774.33
a560dc5c-d7b2-4f4d-991a-99c6856a03f8,Monteiro,60.321.794/0001-17,Facere Crédito,CREDIT,ELO,64757.17,62224.3
0a08a532-c133-49d8-b488-0bc6493d8e05,Carvalho,61.402.853/0001-44,Ea Crédito,CREDIT,ELO,4703.11,2708.8
cc8f169f-865d-4236-8072-ebdfeb185e29,da Mota Andrade e Filhos,49.532.176/0001-83,Labore Crédito,CREDIT,VISA,27877.47,9252.75
29d2f556-bf4d-4751-b7ab-94886ced7fb8,Cavalcante,46.893.720/0001-24,Corporis Crédito,CREDIT,VISA,43.03,10.69
e9ddf9be-8f24-460c-aeaf-027cb51b6479,Sampaio Cardoso - EI,09.527.831/0001-90,Sapiente Crédito,CREDIT,VISA,12603.85,9863.15
