billId,accountId,dueDate,billTotalAmount,billMinimumAmount,isPaid
96ff43ff-cd5f-4b56-9038-54fd8074a6ff,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-20,"{'amount': 176.92, 'currency': 'BRL'}","{'amount': 24.31, 'currency': 'BRL'}",True
8ec185e8-d942-44eb-a161-b04be43152a6,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-29,"{'amount': 233.81, 'currency': 'BRL'}","{'amount': 30.66, 'currency': 'BRL'}",True
dfdf65df-cb9b-4172-8f58-fc2f9b3495c7,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-14,"{'amount': 3428.09, 'currency': 'BRL'}","{'amount': 1111.93, 'currency': 'BRL'}",True
a0dd97b6-8a24-445c-89f1-2987d4c74ad4,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-15,"{'amount': 840.51, 'currency': 'BRL'}","{'amount': 377.65, 'currency': 'BRL'}",True
f9a930b9-56e0-4091-8626-70ec9b8e3440,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-25,"{'amount': 294.79, 'currency': 'BRL'}","{'amount': 57.73, 'currency': 'BRL'}",True
bcbbfde5-6988-4b4f-a1a0-00ded94f5ef6,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-07,"{'amount': 1464.36, 'currency': 'BRL'}","{'amount': 454.02, 'currency': 'BRL'}",True
65836ab0-942b-476b-bda9-b01857f68862,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-23,"{'amount': 3645.12, 'currency': 'BRL'}","{'amount': 788.7, 'currency': 'BRL'}",False
aeab52d9-2ae0-4c54-a2ed-13ee3955f494,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-02,"{'amount': 3389.38, 'currency': 'BRL'}","{'amount': 1674.51, 'currency': 'BRL'}",True
276c6fd1-228d-4a9f-837d-477334a32d62,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-26,"{'amount': 1323.11, 'currency': 'BRL'}","{'amount': 429.07, 'currency': 'BRL'}",True
9c93b18f-aa25-4489-88f8-f2e9ac95971a,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-30,"{'amount': 242.81, 'currency': 'BRL'}","{'amount': 75.97, 'currency': 'BRL'}",True
f526acb6-2310-4b3c-a65e-1e492b9845ac,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-18,"{'amount': 3911.72, 'currency': 'BRL'}","{'amount': 1498.08, 'currency': 'BRL'}",True
0c615d9b-5f23-4b83-806a-29a634dc0891,733dbf81-79a1-4e10-8e03-5406b12bdf6c,2024-12-13,"{'amount': 4010.59, 'currency': 'BRL'}","{'amount': 1390.33, 'currency': 'BRL'}",True
b6908237-1643-441c-8eac-547850920ede,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-27,"{'amount': 2277.23, 'currency': 'BRL'}","{'amount': 981.0, 'currency': 'BRL'}",True
2843b98c-1be4-4ceb-aeac-127174ca12ba,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-14,"{'amount': 4748.72, 'currency': 'BRL'}","{'amount': 708.8, 'currency': 'BRL'}",True
e8da2bf6-f331-4317-bf9e-3e1072476c9c,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-25,"{'amount': 4957.2, 'currency': 'BRL'}","{'amount': 2166.44, 'currency': 'BRL'}",True
3a827a71-c2df-4327-8b91-bb8b8300ada0,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-05,"{'amount': 3858.54, 'currency': 'BRL'}","{'amount': 1929.08, 'currency': 'BRL'}",True
366bb757-1095-4249-ae6d-47fcec3f533c,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-22,"{'amount': 3462.84, 'currency': 'BRL'}","{'amount': 1666.51, 'currency': 'BRL'}",True
39dc1f71-35cf-4e3a-8bc9-ed7658b75b8e,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-07,"{'amount': 3388.32, 'currency': 'BRL'}","{'amount': 1512.62, 'currency': 'BRL'}",True
81eac320-10fa-4e1b-aa82-3b03fb5b6a35,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-08,"{'amount': 1344.29, 'currency': 'BRL'}","{'amount': 603.68, 'currency': 'BRL'}",True
378c8721-25ff-4344-812a-5008d3431681,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-16,"{'amount': 2027.17, 'currency': 'BRL'}","{'amount': 882.57, 'currency': 'BRL'}",False
d24fafe7-d2be-489e-a72b-24607b0672f9,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-27,"{'amount': 2704.35, 'currency': 'BRL'}","{'amount': 999.6, 'currency': 'BRL'}",True
5c6d704b-5b9c-4049-9562-7c774125ecae,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-15,"{'amount': 4712.48, 'currency': 'BRL'}","{'amount': 1978.91, 'currency': 'BRL'}",True
342b769a-9ea3-4cd6-83d4-941f2823e50f,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-14,"{'amount': 1697.39, 'currency': 'BRL'}","{'amount': 205.07, 'currency': 'BRL'}",True
a5fe20a5-1cae-4cf4-97f1-18d9b8f201e7,c6023175-da1b-43c6-8d8b-ab48944475bb,2024-12-28,"{'amount': 2416.18, 'currency': 'BRL'}","{'amount': 800.27, 'currency': 'BRL'}",True
a20278e0-ac86-49ef-b3c0-a789416029b4,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-04,"{'amount': 2853.13, 'currency': 'BRL'}","{'amount': 1194.59, 'currency': 'BRL'}",True
31049420-1398-4c00-a1d6-61095f27a2ed,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-09,"{'amount': 4630.1, 'currency': 'BRL'}","{'amount': 565.78, 'currency': 'BRL'}",False
3f8d4fe1-7d2a-45ba-b0f2-3b67c18c2186,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-10,"{'amount': 2852.85, 'currency': 'BRL'}","{'amount': 781.66, 'currency': 'BRL'}",True
b6c7c2ab-c5ef-4772-95a7-4c3f3dca73ae,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-15,"{'amount': 2416.07, 'currency': 'BRL'}","{'amount': 492.03, 'currency': 'BRL'}",True
02e5a2f5-7894-4ccd-8d34-71a0058ae2c1,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-11-26,"{'amount': 1367.79, 'currency': 'BRL'}","{'amount': 163.12, 'currency': 'BRL'}",True
bc2f31a6-6d76-459a-9ef2-6f18eb91c835,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-12,"{'amount': 3533.64, 'currency': 'BRL'}","{'amount': 1597.13, 'currency': 'BRL'}",True
9697e287-dac5-4e74-82bb-bc6b05e3b5b1,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-11,"{'amount': 1208.76, 'currency': 'BRL'}","{'amount': 411.59, 'currency': 'BRL'}",True
08d23772-4abd-47b1-9831-e7530e01bf82,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-17,"{'amount': 1353.47, 'currency': 'BRL'}","{'amount': 275.46, 'currency': 'BRL'}",True
079424fd-7b49-4373-a373-e1d805267daa,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-30,"{'amount': 622.15, 'currency': 'BRL'}","{'amount': 215.74, 'currency': 'BRL'}",True
31c15f5c-3be7-4ceb-8bc0-55749967aaf5,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-27,"{'amount': 2917.99, 'currency': 'BRL'}","{'amount': 814.23, 'currency': 'BRL'}",True
378d48a3-ce15-4987-8ca0-f9f17b1baf02,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-15,"{'amount': 4318.86, 'currency': 'BRL'}","{'amount': 1441.82, 'currency': 'BRL'}",True
c465db08-8c66-475a-9701-aeb2349babdb,bf01f753-70d2-49a3-8e9c-8dab9adc64e4,2024-12-19,"{'amount': 3540.1, 'currency': 'BRL'}","{'amount': 1460.7, 'currency': 'BRL'}",True
118c2fc6-5e7a-44a2-997a-f685960b7b43,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-11-30,"{'amount': 3212.13, 'currency': 'BRL'}","{'amount': 707.66, 'currency': 'BRL'}",True
60828c71-0c3e-4bbe-b21e-6d4bf9d9a41d,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-17,"{'amount': 3626.89, 'currency': 'BRL'}","{'amount': 672.47, 'currency': 'BRL'}",True
ba28d4b8-e23f-42d2-9b8c-074ef2576b66,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-02,"{'amount': 3107.97, 'currency': 'BRL'}","{'amount': 686.73, 'currency': 'BRL'}",True
94c3b748-5683-4c12-9c4a-82a08aaa2361,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-06,"{'amount': 1948.49, 'currency': 'BRL'}","{'amount': 339.07, 'currency': 'BRL'}",True
62472c33-b3bb-4651-a47f-9204069f8d4f,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-08,"{'amount': 1402.58, 'currency': 'BRL'}","{'amount': 491.15, 'currency': 'BRL'}",False
6ec97221-fd4a-4ccb-a032-b754003b9201,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-16,"{'amount': 3676.04, 'currency': 'BRL'}","{'amount': 1774.65, 'currency': 'BRL'}",True
2a6852e5-6775-4342-90d3-bfbd1d02637a,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-11-29,"{'amount': 1735.33, 'currency': 'BRL'}","{'amount': 631.3, 'currency': 'BRL'}",True
24164cdc-1cd5-4739-8cda-01e6a34ef7eb,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-12,"{'amount': 617.93, 'currency': 'BRL'}","{'amount': 112.47, 'currency': 'BRL'}",True
2a38937d-4c8d-49a2-9709-131d62ef2a12,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-20,"{'amount': 2538.6, 'currency': 'BRL'}","{'amount': 524.64, 'currency': 'BRL'}",True
3d1909df-d469-40a1-b63b-76172c9ec42a,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-11-29,"{'amount': 4952.6, 'currency': 'BRL'}","{'amount': 1104.42, 'currency': 'BRL'}",True
0229816d-50db-4920-9007-943765d3b62a,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-13,"{'amount': 2113.95, 'currency': 'BRL'}","{'amount': 299.01, 'currency': 'BRL'}",True
5fdd7a73-b7ed-42f9-b927-2fecf1f285b3,a779f4b4-5e5c-44f4-a348-d76c11245f07,2024-12-16,"{'amount': 4199.92, 'currency': 'BRL'}","{'amount': 1156.23, 'currency': 'BRL'}",False
d3aa7662-8c1d-422a-81c4-068cf090a94c,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-17,"{'amount': 3140.66, 'currency': 'BRL'}","{'amount': 916.88, 'currency': 'BRL'}",True
f3ba3de3-cbf0-489c-8c9d-cc6297ed5d85,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-23,"{'amount': 776.97, 'currency': 'BRL'}","{'amount': 203.21, 'currency': 'BRL'}",False
234f51e5-83a7-4fe6-ac1c-fd467c6d0733,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-11-30,"{'amount': 218.0, 'currency': 'BRL'}","{'amount': 25.63, 'currency': 'BRL'}",True
ef8d089a-cfa7-4438-bcfe-bda10b67eb62,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-18,"{'amount': 4601.92, 'currency': 'BRL'}","{'amount': 2115.03, 'currency': 'BRL'}",True
e33d8859-4ec1-4198-8529-2424eadc802e,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-28,"{'amount': 163.48, 'currency': 'BRL'}","{'amount': 42.98, 'currency': 'BRL'}",True
71ef3ddd-0c0b-4c3a-91ea-414f399335c8,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-05,"{'amount': 357.06, 'currency': 'BRL'}","{'amount': 165.24, 'currency': 'BRL'}",True
097f2e7b-913a-4d75-a3e4-d40e6f791b5a,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-11-30,"{'amount': 3365.87, 'currency': 'BRL'}","{'amount': 1659.42, 'currency': 'BRL'}",True
f7c15362-be46-4324-8357-f35189c42768,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-11-26,"{'amount': 396.2, 'currency': 'BRL'}","{'amount': 157.93, 'currency': 'BRL'}",True
e0e2ee15-7abf-4f01-912e-3e74db898789,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-26,"{'amount': 3866.38, 'currency': 'BRL'}","{'amount': 1554.72, 'currency': 'BRL'}",False
920eb8d1-af7a-4216-a12a-8f1b05ab526b,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-21,"{'amount': 4016.12, 'currency': 'BRL'}","{'amount': 1912.11, 'currency': 'BRL'}",True
e0355621-a016-4aaa-91ef-90b385e44865,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-31,"{'amount': 718.71, 'currency': 'BRL'}","{'amount': 189.78, 'currency': 'BRL'}",False
2b4c9792-1016-4f37-82af-e8efbc1073d6,4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,2024-12-22,"{'amount': 4354.35, 'currency': 'BRL'}","{'amount': 1004.77, 'currency': 'BRL'}",True
5b9c9e6c-1ad6-43b6-93f2-32dc859a631e,56fcd638-6680-4e0e-9351-d4b9031319ed,2024-12-02,"{'amount': 1585.38, 'currency': 'BRL'}","{'amount': 314.79, 'currency': 'BRL'}",True
705a5703-cdfd-46ed-99a3-a59193fbfcf3,56fcd638-6680-4e0e-9351-d4b9031319ed,2024-12-16,"{'amount': 2908.03, 'currency': 'BRL'}","{'amount': 973.91, 'currency': 'BRL'}",True
73878bbe-3060-42be-a178-798600fb5780,56fcd638-6680-4e0e-9351-d4b9031319ed,2024-12-19,"{'amount': 4751.32, 'currency': 'BRL'}","{'amount': 1366.32, 'currency': 'BRL'}",True
