accountId,creditLineLimitType,limitAmount,usedAmount,availableAmount
733dbf81-79a1-4e10-8e03-5406b12bdf6c,LIMITE_CREDITO_TOTAL,"{'amount': 791.16, 'currency': 'BRL'}","{'amount': 693.27, 'currency': 'BRL'}","{'amount': 97.88999999999999, 'currency': 'BRL'}"
c6023175-da1b-43c6-8d8b-ab48944475bb,LIMITE_CREDITO_TOTAL,"{'amount': 3846.88, 'currency': 'BRL'}","{'amount': 858.54, 'currency': 'BRL'}","{'amount': 2988.34, 'currency': 'BRL'}"
bf01f753-70d2-49a3-8e9c-8dab9adc64e4,LIMITE_CREDITO_TOTAL,"{'amount': 19435.59, 'currency': 'BRL'}","{'amount': 17884.67, 'currency': 'BRL'}","{'amount': 1550.920000000002, 'currency': 'BRL'}"
a779f4b4-5e5c-44f4-a348-d76c11245f07,LIMITE_CREDITO_TOTAL,"{'amount': 283.9, 'currency': 'BRL'}","{'amount': 249.01, 'currency': 'BRL'}","{'amount': 34.889999999999986, 'currency': 'BRL'}"
4fc35039-8eb0-4a73-a1a5-e46fc3e772f8,LIMITE_CREDITO_TOTAL,"{'amount': 37.88, 'currency': 'BRL'}","{'amount': 26.33, 'currency': 'BRL'}","{'amount': 11.550000000000004, 'currency': 'BRL'}"
56fcd638-6680-4e0e-9351-d4b9031319ed,LIMITE_CREDITO_TOTAL,"{'amount': 18051.68, 'currency': 'BRL'}","{'amount': 473.3, 'currency': 'BRL'}","{'amount': 17578.38, 'currency': 'BRL'}"
d8be53a9-f992-44e4-912b-32488741c057,LIMITE_CREDITO_TOTAL,"{'amount': 1480.97, 'currency': 'BRL'}","{'amount': 908.43, 'currency': 'BRL'}","{'amount': 572.5400000000001, 'currency': 'BRL'}"
c8770d9c-e625-4e2c-a757-6f3bacaff677,LIMITE_CREDITO_TOTAL,"{'amount': 810.29, 'currency': 'BRL'}","{'amount': 258.79, 'currency': 'BRL'}","{'amount': 551.5, 'currency': 'BRL'}"
83255db9-8936-4a65-bc32-a5fce97b398a,LIMITE_CREDITO_TOTAL,"{'amount': 24097.73, 'currency': 'BRL'}","{'amount': 18821.32, 'currency': 'BRL'}","{'amount': 5276.41, 'currency': 'BRL'}"
1d21e5df-10a9-42e9-baf0-74d573b5c6f0,LIMITE_CREDITO_TOTAL,"{'amount': 3265.02, 'currency': 'BRL'}","{'amount': 2788.71, 'currency': 'BRL'}","{'amount': 476.30999999999995, 'currency': 'BRL'}"
